topic,questionText,correctAnswer
Algorithm,Running sum of an array,"Iterate through array, maintain cumulative sum, and build new list or inline modify values."
Algorithm,Remove duplicates from a sorted array,Use two-pointer technique in-place to shift unique elements; return length of unique segment.
Algorithm,Remove Element from an array,Overwrite target elements by shifting non-targets forward; return new length count.
Algorithm,Search Insert Position,"Use binary search to find correct insertion index in sorted array, even if element exists."
Algorithm,Two String Anagram,Check frequency counts or sort both strings and compare for exact match.
Algorithm,Remove duplicates from a String: Return without duplicates,Use LinkedHashSet to preserve order or a boolean array for character seen flags.
Algorithm,Print the words of a string in reverse,"Split by spaces into array, reverse iterate or use reverse method, join or print elements."
Algorithm,Moving all zeroes to end,"Traverse array, compact non-zero elements forward, fill remaining positions with zeros."
Algorithm,Reverse every subarray formed by consecutive K elements,"Group array into blocks of size k, reverse each block, process remaining tail normally."
Java / JavaScript,"What?s the difference between JDK, JRE, and JVM? What are closures in JavaScript?","JDK contains compiler and tools, JRE bundles JVM and core libraries, JVM executes bytecode. JS closures allow inner functions to retain access to outer lexical scope after execution."
Java,Why is Java considered platform-independent?,"Java compiles to bytecode executed by JVM on any platform?""write once, run anywhere."""
Java,Difference between an abstract class and an interface? Use cases.,"Abstract class allows state and implemented methods; interface defines method contract. Use abstract to share behavior, interface to define roles across hierarchies."
Java,"Role of final, finally, and finalize",in Java: `final` prevents modification; `finally` block runs cleanup; `finalize()` is deprecated GC callback before object destruction.
Java,Stack vs. heap memory difference,"Stack holds method calls and local variables (LIFO), heap stores objects and arrays managed via garbage collection."
Java,Method overloading vs. overriding,"Overloading: same name, different signatures; Overriding: subclass redefines superclass method at runtime."
Java,Difference between private and protected access modifiers,Private accessible only within class; protected accessible in package and subclasses.
Java,Constructor overloading in Java,Multiple constructors with different parameter lists for flexible initialization.
Java,Purpose of super keyword,Use `super` to call parent class's methods or constructors in inheritance hierarchies.
Java,Purpose of static blocks in Java,Static blocks initialize static fields once when class is loaded into JVM.
Java,This keyword in constructors,"`this` refers to current instance, can call other constructors or assign instance variables."
Java,Access specifiers differences,Public: everywhere; Protected: package + subclasses; Default: package; Private: class only.
OOP,Difference between composition and inheritance,"Inheritance models ""is-a"" relationship; composition models ""has-a"", favoring flexibility and decoupling."
Java,Difference between constructor and method,Constructor initializes a new object (no return type); method operates on existing instance and may return a value.
Java,Diamond problem in Java and solution,Default methods in multiple interfaces can cause ambiguity; Java requires explicit override in implementing class.
Java,Local vs. instance variable difference,"Local declared inside method, no default init; instance belong to object, default to null/0/false."
Java,What is a Marker interface and why use it?,"Marker interface (e.g., Serializable) has no methods but signals behavior to JVM or frameworks."
OOP,How does Java achieve polymorphism?,"Through inheritance and method overriding at runtime, and overloading at compile time."
OOP,Explain encapsulation with a real-life example,Encapsulation hides internal state using private fields and exposes functionality via getters/setters?like a BankAccount class.
Java,Why are Strings immutable in Java?,"Immutability allows string pooling, thread safety, and security; facilitates caching and safe sharing."
Java,Difference between new String() vs literal in String pool,"Literals are interned; `new String()` always constructs new object, distinct even if value duplicates."
Java (Collections),What is the Collections framework?,"Set of interfaces and implementations (List, Set, Map, Queue), with utility methods and algorithms."
Java (Collections),ArrayList vs. LinkedList differences,ArrayList offers fast index access; LinkedList offers efficient insertions/removals from middle.
Java (Collections),HashMap vs TreeMap & HashSet vs TreeSet,HashMap unsorted fast access; TreeMap sorted log(n); HashSet allows fast lookup; TreeSet sorted set.
Java (Collections),Iterator vs ListIterator differences,Iterator = forward-only; ListIterator = bi-directional with modification support.
Java (Collections),Collections vs Collection,Collections is utility class with static methods; Collection is root interface for List/Set.
Java (Concurrency),Why use java.util.concurrent package?,"Provides thread-safe utilities, executors, locks, atomics, and concurrent collections."
Java,What is an exception in Java?,Runtime event indicating an error or unexpected condition that can be caught and handled.
Java,Exception propagation and rethrow,"If not caught, exception bubbles up call stack; use `throw` to propagate or wrap exceptions."
Java,Checked vs unchecked exceptions,Checked must be declared or handled; unchecked (RuntimeException) do not require declaration.
Java,Purpose of try-catch and finally,Try-catch handles exceptions; finally executes cleanup code regardless of success or failure.
Java,Difference between throw and throws,`throw` raises an exception instance; `throws` declares potential exceptions a method may pass upward.
Java,Base class of all exception classes,java.lang.Throwable is superclass of Error and Exception hierarchy.
Java,How to create a custom exception in Java,"Extend Exception or RuntimeException, provide constructors, optionally include extra fields."
Java (Concurrency),Thread & lifecycle stages,Thread lifecycle: New ? Runnable ? Running ? Blocked/Waiting ? Terminated. Daemon threads run in background.
Java (Concurrency),Difference between process and thread,"Process has independent memory; thread shares process memory, lighter weight unit of execution."
Java (Concurrency),Thread priorities in Java,"Priorities range 1 (MIN) to 10 (MAX); default = NORM_PRIORITY (5), influencing CPU scheduling."
Java (Concurrency),Context switching in threads,Switching CPU from one thread to another; adds latency but enables concurrency.
Java (Concurrency),User vs daemon threads,User threads keep JVM alive until completion; daemon threads are background and do not prevent exit.
Java (Concurrency),Purpose of synchronization,"Synchronization ensures one thread enters critical section at a time, maintaining data consistency."
Java (Concurrency),What is a deadlock? How to avoid,"Deadlock occurs when threads wait indefinitely for locks. Avoid via lock ordering, timeouts, or using tryLock."
Java (Concurrency),"wait(), notify(), notifyAll()",`wait()` suspends and releases lock; `notify()` wakes one waiting thread; `notifyAll()` wakes all waiting threads.
Java (Concurrency),Why concurrency matters,Concurrency improves resource utilization and responsiveness in multithreaded applications.
Java (Concurrency),"How to create threads (Thread, Runnable, Callable)","Create via Thread subclass, Runnable, or Callable with ExecutorService for async result handling."
Java (Concurrency),Java Memory Model & visibility problems,"Defines rules for visibility between threads; use volatile, final, synchronized to ensure consistency and order."
Java (Concurrency),ThreadLocal & InheritableThreadLocal,ThreadLocal provides per-thread state; InheritableThreadLocal passes state to child threads.
Java (Concurrency),"ExecutorService, Thread pools, ThreadPoolExecutor internals","ExecutorService abstracts thread pool execution; ThreadPoolExecutor allows tuning of thread count, queue size, policies; equals/hashCode contract ensures collection integrity."
Java (Concurrency),Virtual Threads (Project Loom),Virtual threads are lightweight threads managed by JVM for handling millions of concurrent tasks with minimal overhead.
Java (Concurrency),Fork/Join framework simplified,"Splits tasks into subtasks recursively and combines results using ForkJoinPool, ideal for parallel divide?and?conquer."
Data Structures,"Given two singly linked lists, return the node where they intersect",Use two-pointer technique: switch heads after reaching end; they meet at intersection or null.
Algorithm,Find an element in rotated sorted array without knowing rotation degree,Use modified binary search to identify pivot and search in correct half?O(log n).
Java,Do you know about String Constant pool?,String literals are stored in a shared constant pool; interned to optimize memory usage.
Data Structures,What is Hashing?,"Hashing maps input to fixed-size output via hash functions, used in hash tables for fast key lookup."
Java (Collections),Unique features of Hashtable vs others,"Hashtable is synchronized (thread-safe), disallows null keys/values, uses legacy Enumeration API?slower than HashMap."
Java (Concurrency),How does a thread work? Code and data,"Each thread has its own call stack; shares heap. CPU context stores registers, program counter, and stack pointer."
Project Specific,Tell me about your current project,"A concise overview: objectives, technologies, your role, challenges, and outcomes."
Java (Concurrency),Future vs CompletableFuture: Use cases,"`Future.get()` blocks; `CompletableFuture` supports async chaining, combining tasks with allOf/anyOf, exception handling with exceptionally/handle."
API & Web,Idempotent methods and REST vs SOAP,GET/PUT/DELETE are idempotent; POST is not. REST is lightweight with HTTP/JSON; SOAP is XML-protocol-based with WSDL.
DevOps (Maven),mvn package vs mvn install,This command creates the JAR in target; `mvn install` deploys artifact into local Maven repo (`~/.m2`). Remote repos host central artifacts; local repo stores them on developer machine.
Data Structures,What is a Hash collision? How is it handled?,Collision occurs when keys hash to same bucket; resolved via chaining or open addressing.
Java (Collections),Difference between HashMap and HashTable,"HashMap is not synchronized and allows null keys/values; Hashtable is synchronized (thread-safe), disallows nulls and uses legacy Enumeration (generally slower)."
Java (Collections),What is a Fail?Fast Iterator? How will we resolve it?,"A fail?fast iterator throws ConcurrentModificationException if the underlying collection is modified during iteration. To resolve: use concurrent collections (e.g., CopyOnWriteArrayList) or iterate on a snapshot/copy."
Java,What are Generics in Java?,"Generics enable type-safe code reuse by allowing classes and methods to operate on parameterized types, providing compile?time checking and eliminating explicit casts."
Software Design,What is a Singleton Class? Explain the Prototype Design Pattern,A Singleton ensures only one instance exists (e.g. via private constructor and static getInstance()). Prototype pattern creates object clones via clone() or serialization to improve performance and flexibility.
Java 8,Use of Optional Class (Java 8),"Optional helps avoid NullPointerException by modeling absence explicitly. Use `Optional.ofNullable()`, `orElse()`, `ifPresent()`, and `map()` for safe chaining."
Java,What is Serialization in Java?,Serialization converts an object?s state into a byte stream for storage or transport; deserialization rebuilds the object. Used for persistence or network transfer.
Java (New Features),What are Sealed Classes (Javaï¿½15+)? Where would you use them?,"Sealed classes restrict which classes may extend or implement them, enabling exhaustive pattern matching and better control over inheritance hierarchies."
Java,Difference between ClassNotFoundException and NoClassDefFoundError,ClassNotFoundException: class not found at runtime via Class.forName(). NoClassDefFoundError: class was present at compile time but missing at runtime.
Spring Boot,How Spring Boot Starter works under the hood,Spring Boot Starter is a curated dependency bundle with auto?configuration logic that activates beans based on classpath presence and property settings.
Spring Boot,What is the Spring IoC Container? What is ApplicationContext?,Spring IoC Container manages bean creation and wiring. ApplicationContext extends BeanFactory by adding enterprise features like event propagation and resource loading.
Spring Boot,Use of @Component annotation,"`@Component` marks a class as a Spring bean, discovered during component scanning and managed within the application context."
Spring Boot,Purpose of @ComponentScan,"`@ComponentScan` directs Spring to scan specified packages for annotated classes, enabling auto-detection and registration of beans."
Spring Boot,Use of @Entity in Spring Data JPA,`@Entity` marks a class as a JPA entity mapped to a database table; Spring Data JPA automatically generates repository implementations for CRUD operations.
API & Web,"HTTP status codes: 404 vs. 402, 502, 503, 401. Handling errors globally.","404: Not Found; 402: Payment Required (rare); 401: Unauthorized; 502: Bad Gateway; 503: Service Unavailable. Handle with `@ControllerAdvice`, custom error payloads, retry logic, and appropriate HTTP response codes."
Spring Boot,What is Pagination in Spring Boot (JPA)?,"Spring Data JPA supports pagination via `Pageable` and `Page<T>` in repository methods, returning paginated content, total elements, and page metadata."
Spring Boot,Use of @ControllerAdvice for global exception handling,"`@ControllerAdvice` defines centralized exception handlers via `@ExceptionHandler`, applied across controllers to standardize error responses."
Spring Boot,How to debug a Spring Boot application efficiently,"Use `spring-boot-devtools` for hot reload, Actuator endpoints (e.g., `/actuator/loggers`), remote debugging, and configurable logging levels."
Microservices,Benefits and trade?offs of using microservices architecture in Java applications,"Microservices provide independent deployability, scalability, and polyglot flexibility. Trade?offs include distributed system complexity, data consistency challenges, higher operational overhead."
JavaScript,"What is the difference between var, let, and const?",`var` is function-scoped and hoisted; `let` and `const` are block-scoped. `const` defines immutable bindings.
JavaScript,What is the this keyword in JavaScript and how does it behave?,"The value of `this` depends on invocation context: global (window), function (strict vs non-strict), method call (object), constructor (`new`), arrow function (lexical `this`)."
JavaScript,What is a JavaScript promise and how does then() work?,A Promise represents an asynchronous operation?s eventual completion or failure. `then()` registers callbacks for success and can return a new promise for chaining.
JavaScript,What is the event loop and how are async operations handled?,Event loop handles async tasks by queueing callbacks (microtask/macrotask) and executing them after the current call stack empties.
JavaScript,What is hoisting in JavaScript and how does it work?,Hoisting moves variable and function declarations to the top of their scope: `var` declarations initialized to `undefined`; `let/const` declarations are hoisted but uninitialized until execution reaches them (?temporal dead zone?).
JavaScript,What are JavaScript data types and how do you check type?,"Primitive types: string, number, boolean, null, undefined, symbol, bigint; Objects. Use `typeof`, `Array.isArray()`, or `instanceof` to detect type."
JavaScript,Difference between null and undefined?,"`null` is an assigned empty value; `undefined` indicates absence of any value. `typeof null` is ?object?, `typeof undefined` is ?undefined?."
JavaScript,What is a callback function and async/await vs callbacks?,A callback is a function passed to another function to be executed later. `async/await` offers clearer syntax and error handling compared to callback pyramids.
JavaScript,How do you manage errors in JavaScript?,"Use `try/catch` for synchronous code, `.catch()` handlers on promises, `window.onerror` or `process.on('unhandledRejection')` for uncaught errors."
JavaScript,Difference between setTimeout() and setInterval()?,`setTimeout` schedules one-time execution; `setInterval` repeats execution at given intervals until cleared.
JavaScript,What is async/await and how does it simplify async code?,"`async` functions return promises; `await` pauses execution until resolved/ rejected, enabling synchronous-like control flow."
JavaScript,How do you handle multiple promises simultaneously?,"Use `Promise.all()` for parallel resolution, `Promise.allSettled()` for independent resolution, or `Promise.race()` to get first settled."
JavaScript,What are higher?order functions? Provide an example.,"A function that takes/returns another function. Example: `Array.prototype.map(callback)`, or a function that returns another based on input."
JavaScript,What is destructuring and how is it useful?,"Destructuring extracts values from arrays or objects into variables in one statement, improving readability and reducing boilerplate."
JavaScript,What are template literals and how do they work?,"Templated strings enclosed by back?ticks, supporting expression interpolation via `${}`, multi-line strings."
JavaScript,How does the spread operator and rest parameter work?,Spread (`...arr`) expands iterable into elements; rest collects function arguments into an array (`...args`). They differ in use location.
JavaScript,Difference between object and array?,Object is key-value structure; array is ordered list accessible by index.
JavaScript,How do you clone an object or array?,"Use spread syntax (`{?obj}` or `[...]`), `Object.assign()`, `structuredClone()`, or `JSON.parse(JSON.stringify(obj))` for deep clone."
JavaScript,"Object.keys(), values(), entries()?","Return arrays of keys, values, or [key, value] pairs of an object, respectively."
JavaScript,How does map() work and differ from forEach()?,`map()` returns a new array based on callback return values; `forEach()` executes provided function per element without returning a new array.
JavaScript,What is event delegation and why use it?,"Event delegation uses a parent listener to handle events from child elements, improving efficiency and reducing multiple listeners."
JavaScript,What are JS modules and how to import/export them?,"Modules use `export` and `import` syntax (`export default`, `export const`). They enable scoped, reusable functionality."
JavaScript,What is the prototype chain and how does inheritance work?,"Each object has a prototype?to inherit behavior, property lookup walks chain. Modifying prototype affects instances."
JavaScript,"What is bind(), call(), and apply() and when to use?","`call(this, ?args)` and `apply(this, argsArray)` invoke function with explicit `this`; `bind()` returns a new function with predefined `this`."
JavaScript,How does JavaScript handle == vs ===?,`==` performs type coercion; `===` checks strict equality without coercion.
Frontend (DOM),What is the DOM and how does JS interact?,"DOM is a tree of HTML/XML nodes. JS interacts via APIs like `getElementById`, `querySelector`, and manipulates nodes, attributes, styles, and events."
JavaScript,How do you prevent default actions and stop propagation?,Use `event.preventDefault()` to stop default behavior and `event.stopPropagation()` (or `stopImmediatePropagation()`) to prevent bubbling or capturing.
JavaScript,Difference between event object and custom event?,Event object like MouseEvent includes standard properties; CustomEvent allows user-defined events with `detail` field via `new CustomEvent()`.
Frontend (Performance),How to optimize frontend performance when Angular app is slow?,"Use performance profiling tools, lazy loading, change detection strategy (`OnPush`), trackBy in ngFor, caching, bundling and tree-shaking, server-side rendering, and AOT compilation."
Spring Security,Explain Spring Security filter chain and DelegatingFilterProxy,JSP filters are chained via `FilterChain`; Spring Security uses `DelegatingFilterProxy` to integrate Spring-managed filters. Customize via security filter order and add JWT filter before authentication.
Spring Security,Authentication vs authorization in Spring Security,"Authentication: verifying identity (e.g. login). Authorization: verifying access permissions (e.g. roles). Use `AuthenticationManager` for auth, `@PreAuthorize`, `HttpSecurity.authorizeRequests()` for authorization."
Spring Security,JWT authentication with Spring Security,"Configure authentication filter to parse, validate JWT (+ secret/public key), create `Authentication` token, and set `SecurityContextHolder`. Use refresh tokens and expiration validation."
Spring Security,Configure MFA with Spring Security and OTP,"Extend authentication provider to check OTP code post-login. Use Time?based One-Time Password (TOTP) libraries (e.g. Google Authenticator), and integrate into login flow."
Spring Security,Stateful vs stateless authentication,Stateful uses server session storage; stateless uses JWT. Choose stateful for fine-grained session control and JWT for scalability with decentralized trust.
Spring Security,Design RBAC vs PBAC using annotations,"Use `@PreAuthorize(""hasRole('ADMIN')"")` for RBAC; use `@PostAuthorize` or custom expression with permissions stored per user for PBAC."
Spring Security,Method security vs HTTP security,"Method security applies at method level (e.g. `@Secured`, `@RolesAllowed`), HTTP security controls via `HttpSecurity` config. Both can be combined."
Spring Security,Explain OAuth2 authorization code flow with PKCE in Spring Securityï¿½6,"Client initiates auth code grant with PKCE, gets code, exchanges it with verifier for access token. Spring Security handles redirect, token validation, and PKCE in OAuth2 login."
Spring Security,Custom OAuth2 user service with legacy DB,"Implement `OAuth2UserService`, fetch user details from legacy DB, map to Spring Security?s `OAuth2User`, and wrap in `DefaultOAuth2User` with authorities."
Spring Security,Configure resource server to validate JWT from external OAuth provider (e.g. Keycloak),"Use `spring-boot-starter-oauth2-resource-server`, configure `JwtDecoder` with provider?s issuer URI/public keys, then secure endpoints via `@PreAuthorize`."
Java 8 (Streams),Difference between Stream.peek() and forEach(),"`peek()` is an intermediate operation useful for debugging, returns stream; `forEach()` is terminal and consumes the stream without continuation."
Java (New Features),Immutable collections introduced in Java 9+,"Use factory methods like `List.of()`, `Set.of()`, and `Map.of()` to create immutable, fixed-size collections."
Java (Collections),Difference between List.of() and Arrays.asList(),`List.of()` creates truly immutable list?no nulls allowed; `Arrays.asList()` returns fixed-size but mutable list view over array allowing nulls.
Java (New Features),Virtual threads (Project Loom): What and how they differ from platform threads?,"Virtual threads are lightweight user-mode threads managed by JVM, allowing millions of concurrent tasks with low overhead. Platform threads are OS threads?heavyweight."
Java (New Features),Switch expressions with yield in Javaï¿½14+,"Switch expression can be used as a value, using `yield` inside a case to return a value. Example:"
Java (New Features),How does instanceof pattern matching enhance type safety in Java 16+?,"instanceof pattern matching in Java 16+ (JEP 394) enhances type safety by reducing boilerplate code and the potential for ClassCastException. It allows you to declare a pattern variable directly in the instanceof operator. If the object is an instance of the type, the variable is automatically cast to that type and is in scope for the if block, making the code more concise and less error-prone by ensuring the correct type is used without explicit casting."
Java (New Features),What are some new string methods introduced in Java 11+?,"Java 11+ introduced several new string methods, including: isBlank(), lines(), strip(), stripLeading(), stripTrailing(), and repeat(int count)."
Java (Collections),How does Map.of() behave with duplicate keys?,"Map.of() and other Map.ofEntries() factory methods in Java do not allow duplicate keys. If you attempt to create an immutable map with duplicate keys, it will throw an IllegalArgumentException."
Spring Boot,What's the purpose of @ConditionalOnProperty annotation?,The @ConditionalOnProperty annotation in Spring Boot allows a bean to be registered only if a specific Spring environment property has a particular value (or is present/absent). This is useful for enabling or disabling features based on configuration in application.properties or application.yml.
Spring Boot,Explain how you implement custom validation in Spring Boot using annotations.,"To implement custom validation in Spring Boot, you typically create a custom annotation, a validator class that implements ConstraintValidator<AnnotationType, FieldType>, and then apply the annotation to the fields you want to validate. The validator contains the custom logic. You'll also need jakarta.validation:jakarta.validation-api and org.hibernate.validator:hibernate-validator dependencies."
Spring Boot,How does @Transactional handle nested transactions?,"In Spring, @Transactional handles nested transactions based on its propagation behavior. The default Propagation.REQUIRED reuses an existing transaction; if one doesn't exist, it creates a new one. Propagation.REQUIRES_NEW always creates a new, independent transaction. Propagation.NESTED creates a savepoint within an existing transaction or a new transaction if none exists. The behavior depends heavily on the chosen propagation level."
Spring Boot,Difference between application.properties and application.yml in Spring Boot?,"Both application.properties and application.yml are used for externalizing configuration in Spring Boot. The main differences are: application.properties uses a key-value pair format (e.g., server.port=8080), while application.yml uses YAML format, which is more structured and readable (e.g., server: port: 8080). YAML supports hierarchical data, lists, and anchors, making it more concise for complex configurations."
Spring Boot,How do you externalize configuration in Spring Boot for different environments? Explain Spring Boot?s externalized configuration hierarchy.,"Spring Boot allows externalized configuration using application.properties, application.yml, environment variables, command-line arguments, and profile-specific files (e.g., application-dev.properties). The externalized configuration hierarchy is a specific order in which Spring Boot loads properties, with later sources overriding earlier ones. This hierarchy includes (from lowest to highest precedence): default properties, application.properties/application.yml in the classpath, profile-specific properties, JAR-specific properties, environment variables, and command-line arguments."
Spring Boot,What is WebClient in Spring Boot and how is it different from Rest Template?,"WebClient is a non-blocking, reactive HTTP client introduced in Spring 5, part of Spring WebFlux. It's designed for asynchronous and reactive programming, making it suitable for microservices communication and highly concurrent applications. RestTemplate is a synchronous, blocking HTTP client that is now in maintenance mode. WebClient offers better performance in reactive applications and supports streaming, while RestTemplate is simpler for basic synchronous calls."
Spring Boot,Explain lazy initialization and how to enable it in Spring Boot.,"Lazy initialization in Spring Boot means that a bean is created and initialized only when it's first requested or needed, rather than during application startup. This can improve startup time and reduce memory consumption if certain beans are not immediately required. You can enable lazy initialization globally by setting spring.main.lazy-initialization=true in application.properties or on individual beans using @Lazy annotation."
Spring Boot,What are Spring Profiles and how do you switch between them?,"Spring Profiles provide a way to segregate parts of your application configuration and make them only active in certain environments. For example, you can have different database configurations for ""dev,"" ""test,"" and ""prod"" profiles. You can switch between profiles by setting the spring.profiles.active property in application.properties, as a command-line argument (--spring.profiles.active=dev), or as an environment variable."
Spring Boot,How can you implement request rate limiting in a Spring Boot API?,"Request rate limiting in a Spring Boot API can be implemented using various approaches: 1. Spring Cloud Gateway: Provides built-in rate limiting filters (e.g., RequestRateLimiterGatewayFilterFactory).<br> 2. Bucket4j or Resilience4j: These libraries offer more fine-grained control for implementing token bucket or leaky bucket algorithms programmatically. 3. Custom Interceptor/Filter: Implement a custom Spring MVC HandlerInterceptor or javax.servlet.Filter to enforce rate limits based on IP address, user ID, or other criteria, using a data store like Redis to track requests."
Microservices,What is service discovery and how does Eureka or Consul handle it?,"Service discovery is the process by which clients of a microservice locate instances of that service. In a microservices architecture, instances are dynamic. Eureka (Netflix OSS) and Consul (HashiCorp) are popular service discovery tools. Eureka: Services register themselves with the Eureka server, which maintains a registry of available service instances and their network locations. Clients then query Eureka to find service instances. Consul: Similar to Eureka, Consul also provides a service registry, but it also offers health checking, key-value storage, and a DNS interface. Services register with Consul agents, and clients can discover services via DNS or HTTP API."
Microservices,How do you maintain backward compatibility in evolving microservice APIs?,"Maintaining backward compatibility in evolving microservice APIs is crucial to avoid breaking existing clients. Strategies include: 1. Versioning: Use URL versioning (/v1/users), header versioning, or media type versioning. <br> 2. Graceful Evolution: Add new fields as optional, don't remove existing fields without a deprecation period, and handle unknown fields gracefully. 3. Deprecation: Clearly mark old API versions or fields as deprecated and provide a timeline for their removal. 4. Transformation Layers: Use API gateways or proxy services to transform requests/responses between different API versions."
Microservices,What strategies do you use for fault tolerance in microservices? Explain Spring Boot?s externalized configuration hierarchy.,"Strategies for fault tolerance in microservices include: 1. Circuit Breakers (e.g., Resilience4j, Hystrix): Prevent cascading failures by quickly failing requests to services that are experiencing issues. 2. Retries: Automatically re-attempt failed requests, often with exponential backoff. 3. Bulkheads: Isolate components to prevent the failure of one part from impacting others (e.g., separate thread pools for different services). 4. Timeouts: Set limits on how long a service will wait for a response from another service. 5. Fallbacks: Provide alternative code paths or default responses when a service is unavailable or failing. 6. Load Balancing: Distribute requests across multiple instances to avoid single points of failure. (The second part of the question ""Explain Spring Boot?s externalized configuration hierarchy"" seems to be a repetition from an earlier question. Please refer to the answer for ""How do you externalize configuration in Spring Boot for different environments? Explain Spring Boot?s externalized configuration hierarchy."" for details on that.)"
Messaging,What is the role of schema registry when using Kafka with Avro?,"When using Kafka with Avro, a schema registry plays a crucial role in managing and enforcing the schemas of data published to Kafka topics. It stores a centralized repository of Avro schemas, allowing producers to register schemas and consumers to retrieve them. This ensures data compatibility, prevents schema evolution issues, and enables strong type checking, making it easier to parse and interpret messages across different applications without having to embed schemas in every message."
DevOps,How would you use Docker Compose to spin up a microservices environment?,"Docker Compose is a tool for defining and running multi-container Docker applications. To spin up a microservices environment, you would: 1. Define services: Create a docker-compose.yml file where each microservice, database, message queue, etc., is defined as a service. You specify their Docker images, ports, volumes, and dependencies. <br> 2. Network configuration: Docker Compose automatically creates a default network, allowing services to communicate by their service names. You can also define custom networks. 3. Environment variables: Pass environment variables to containers for configuration. 4. Orchestration: Use docker-compose up to start all defined services in the correct order, and docker-compose down to stop and remove them."
Cloud (AWS),"What are IAM roles and policies in AWS, and how do they relate to access control?","In AWS, IAM (Identity and Access Management) roles are identities that you can assume to gain temporary permissions to perform specific actions. They are not associated with a specific user and are often used by AWS services or external users to access resources. IAM policies are JSON documents that define permissions ? what actions are allowed or denied on which resources. IAM roles and policies are fundamental to access control by specifying who can do what with which AWS resources, ensuring the principle of least privilege. Policies are attached to users, groups, or roles to grant them permissions."
